influencer_category,followers_count,engagement_rate,campaign_category,audience_match_score,previous_performance,match_label
Lifestyle,6400,2.34,Technology,21,27,Low Match
Beauty,8100,1.56,Travel,17,21,Low Match
Music,4700,2.12,Food,20,26,Low Match
Fitness,5900,1.78,Gaming,18,22,Low Match
Technology,7300,2.67,Education,24,30,Low Match
Fashion,4200,1.34,Music,15,19,Low Match
Food,8600,2.89,Lifestyle,26,32,Low Match
Travel,3600,1.12,Fashion,14,18,Low Match
Gaming,6100,2.45,Food,22,28,Low Match
Education,4800,1.67,Music,17,21,Low Match
Lifestyle,7900,2.23,Gaming,21,27,Low Match
Beauty,3400,1.45,Education,16,20,Low Match
Music,6600,2.78,Travel,24,30,Low Match
Fitness,42000,4.12,Fashion,45,48,Moderate Match
Technology,38000,3.89,Lifestyle,42,46,Moderate Match
Fashion,51000,4.45,Technology,48,52,Moderate Match
Food,35000,3.67,Gaming,40,44,Moderate Match
Travel,48000,4.23,Education,47,50,Moderate Match
Gaming,33000,3.45,Food,39,43,Moderate Match
Education,55000,4.67,Travel,50,54,Moderate Match
Lifestyle,30000,3.23,Music,37,41,Moderate Match
Beauty,52000,4.34,Gaming,48,52,Moderate Match
Music,37000,3.78,Fashion,43,47,Moderate Match
Fitness,44000,4.56,Education,49,53,Moderate Match
Technology,31000,3.34,Beauty,38,42,Moderate Match
Fashion,49000,4.12,Travel,46,50,Moderate Match
Food,36000,3.89,Music,42,46,Moderate Match
Travel,53000,4.45,Fashion,49,53,Moderate Match
Gaming,28000,3.12,Lifestyle,36,40,Moderate Match
Education,46000,4.34,Food,48,52,Moderate Match
Lifestyle,34000,3.56,Technology,41,45,Moderate Match
Beauty,50000,4.23,Music,47,51,Moderate Match
Music,39000,3.67,Education,43,47,Moderate Match
Fitness,47000,4.78,Travel,50,54,Moderate Match
Technology,32000,3.45,Gaming,40,44,Moderate Match
Fashion,54000,4.56,Lifestyle,50,54,Moderate Match
Food,29000,3.23,Fashion,37,41,Moderate Match
Travel,45000,4.34,Music,48,52,Moderate Match
Gaming,35000,3.78,Education,43,47,Moderate Match
Education,52000,4.12,Beauty,47,51,Moderate Match
Lifestyle,31000,3.34,Food,38,42,Moderate Match
Beauty,48000,4.67,Technology,49,53,Moderate Match
Music,33000,3.56,Lifestyle,41,45,Moderate Match
Fitness,75000,5.45,Technology,60,57,Moderate Match
Technology,68000,4.89,Food,55,52,Moderate Match
Fashion,82000,5.23,Gaming,62,59,Moderate Match
Food,71000,4.67,Fashion,54,51,Moderate Match
Travel,78000,5.34,Beauty,61,58,Moderate Match
Gaming,65000,4.45,Travel,52,49,Moderate Match
Education,85000,5.12,Music,59,56,Moderate Match
Lifestyle,72000,4.78,Education,56,53,Moderate Match
Beauty,79000,5.56,Food,63,60,Moderate Match
Music,66000,4.34,Technology,51,48,Moderate Match
Fitness,83000,5.67,Lifestyle,64,61,Moderate Match
Technology,76000,4.12,Beauty,50,47,Moderate Match
Fashion,89000,5.78,Music,65,62,Moderate Match
Food,73000,4.56,Travel,53,50,Moderate Match
Travel,80000,5.89,Gaming,66,63,Moderate Match
Gaming,67000,4.23,Fashion,51,48,Moderate Match
Education,86000,5.34,Lifestyle,62,59,Moderate Match
Lifestyle,74000,4.89,Technology,57,54,Moderate Match
Beauty,81000,5.45,Education,63,60,Moderate Match
Music,70000,4.67,Food,55,52,Moderate Match
Fitness,87000,5.12,Music,60,57,Moderate Match
Technology,77000,4.78,Gaming,56,53,Moderate Match
Fashion,84000,5.56,Travel,64,61,Moderate Match
Food,69000,4.34,Lifestyle,52,49,Moderate Match
Travel,76000,5.23,Fashion,61,58,Moderate Match
Gaming,83000,4.56,Education,54,51,Moderate Match
Education,90000,5.67,Food,65,62,Moderate Match
Lifestyle,73000,4.12,Beauty,50,47,Moderate Match
Beauty,80000,5.78,Music,66,63,Moderate Match
Music,77000,4.45,Technology,53,50,Moderate Match
Fitness,8500,2.45,Gaming,28,35,Low Match
Technology,3200,1.12,Fashion,12,16,Low Match
Fashion,9800,2.78,Food,30,36,Low Match
Food,4500,1.56,Music,16,20,Low Match
Travel,7200,2.34,Technology,24,30,Low Match
Gaming,5800,1.89,Lifestyle,20,24,Low Match
Education,8100,2.56,Beauty,27,33,Low Match
Lifestyle,3900,1.34,Fashion,14,18,Low Match
Beauty,6500,2.12,Gaming,22,28,Low Match
Music,9300,2.89,Education,31,37,Low Match
Fitness,4200,1.67,Travel,17,21,Low Match
Technology,7600,2.45,Lifestyle,25,31,Low Match
Fashion,5100,1.78,Music,19,23,Low Match
Food,8400,2.67,Technology,28,34,Low Match
Travel,3500,1.23,Gaming,13,17,Low Match
Gaming,6900,2.34,Food,23,29,Low Match
Education,4800,1.56,Fashion,17,21,Low Match
Lifestyle,7500,2.78,Travel,26,32,Low Match
Beauty,3800,1.45,Education,15,19,Low Match
Music,6200,2.12,Lifestyle,21,27,Low Match
Fitness,255000,7.34,Fitness,87,85,Strong Match
Technology,310000,6.89,Technology,85,82,Strong Match
Fashion,185000,8.12,Fashion,88,86,Strong Match
Food,420000,7.56,Food,89,87,Strong Match
Travel,275000,6.45,Travel,83,80,Strong Match
Gaming,350000,8.67,Gaming,91,89,Strong Match
Education,190000,7.23,Education,82,79,Strong Match
Lifestyle,310000,6.78,Lifestyle,85,82,Strong Match
Beauty,265000,8.34,Beauty,90,88,Strong Match
Music,195000,7.12,Music,82,79,Strong Match
Fitness,380000,8.89,Fitness,93,91,Strong Match
Technology,245000,7.45,Technology,85,83,Strong Match
Fashion,320000,6.34,Fashion,83,81,Strong Match
Food,190000,8.23,Food,87,85,Strong Match
Travel,350000,7.67,Travel,86,83,Strong Match
Gaming,275000,6.12,Gaming,82,80,Strong Match
Education,410000,7.89,Education,85,83,Strong Match
Lifestyle,220000,6.56,Lifestyle,82,80,Strong Match
Beauty,350000,8.45,Beauty,92,90,Strong Match
Music,280000,7.34,Music,84,81,Strong Match
Fitness,190000,6.23,Fitness,82,80,Strong Match
Technology,350000,8.12,Technology,88,86,Strong Match
Fashion,245000,7.56,Fashion,85,83,Strong Match
Food,310000,6.89,Food,84,82,Strong Match
Travel,190000,7.23,Travel,82,79,Strong Match
Gaming,420000,8.34,Gaming,90,88,Strong Match
Education,275000,6.45,Education,81,78,Strong Match
Lifestyle,350000,7.78,Lifestyle,87,84,Strong Match
Beauty,190000,8.67,Beauty,89,87,Strong Match
Music,310000,6.12,Music,82,79,Strong Match
Fitness,275000,7.89,Fitness,88,86,Strong Match
Technology,190000,6.34,Technology,81,78,Strong Match
Fashion,350000,8.56,Fashion,90,88,Strong Match
Food,245000,7.12,Food,84,82,Strong Match
Travel,310000,6.67,Travel,83,80,Strong Match
Gaming,190000,7.45,Gaming,84,82,Strong Match
Education,350000,8.23,Education,86,84,Strong Match
Lifestyle,245000,5.89,Travel,57,63,Moderate Match
Beauty,310000,7.34,Beauty,87,85,Strong Match
Music,190000,6.78,Music,81,78,Strong Match
Fitness,350000,8.34,Fitness,91,89,Strong Match
Technology,245000,5.45,Gaming,52,58,Moderate Match
Fashion,190000,7.67,Fashion,84,82,Strong Match
Food,350000,6.23,Food,83,81,Strong Match
Travel,245000,7.89,Travel,85,82,Strong Match
Gaming,190000,6.56,Gaming,81,78,Strong Match
Education,350000,5.12,Lifestyle,56,62,Moderate Match
Lifestyle,245000,8.45,Lifestyle,89,87,Strong Match
Beauty,190000,6.89,Beauty,85,83,Strong Match
Music,350000,7.23,Music,84,81,Strong Match
Fitness,245000,6.45,Fitness,84,82,Strong Match
Technology,190000,7.78,Technology,85,82,Strong Match
Fashion,350000,5.34,Travel,49,55,Moderate Match
Food,245000,8.12,Food,88,86,Strong Match
Travel,190000,6.34,Travel,81,78,Strong Match
Gaming,350000,7.56,Gaming,87,85,Strong Match
Education,245000,6.12,Education,80,77,Strong Match
Lifestyle,190000,7.45,Lifestyle,84,81,Strong Match
Beauty,350000,8.78,Beauty,93,91,Strong Match
Music,245000,5.67,Music,79,76,Strong Match
Fitness,190000,8.56,Fitness,89,87,Strong Match
Technology,350000,6.78,Technology,85,82,Strong Match
Fashion,245000,7.34,Fashion,85,83,Strong Match
Food,190000,6.45,Food,81,79,Strong Match
Travel,350000,8.23,Travel,88,85,Strong Match
Gaming,245000,5.89,Gaming,81,78,Strong Match
Education,190000,7.12,Education,80,77,Strong Match
Lifestyle,350000,6.34,Lifestyle,84,82,Strong Match
Beauty,245000,7.89,Beauty,88,86,Strong Match
Music,190000,6.56,Music,80,77,Strong Match
Fitness,128000,7.45,Fitness,86,84,Strong Match
Technology,95000,6.23,Technology,80,77,Strong Match
Fashion,215000,5.89,Fashion,82,80,Strong Match
Food,167000,7.12,Food,84,82,Strong Match
Travel,142000,6.34,Travel,79,76,Strong Match
Gaming,278000,8.12,Gaming,89,87,Strong Match
Education,118000,5.67,Education,76,73,Strong Match
Lifestyle,193000,7.34,Lifestyle,85,83,Strong Match
Beauty,258000,8.56,Beauty,91,89,Strong Match
Music,143000,6.78,Music,81,78,Strong Match
Fitness,312000,8.23,Fitness,90,88,Strong Match
Technology,178000,5.45,Technology,79,76,Strong Match
Fashion,267000,7.67,Fashion,86,84,Strong Match
Food,198000,6.89,Food,83,81,Strong Match
Travel,287000,7.45,Travel,85,83,Strong Match
Gaming,143000,6.56,Gaming,80,78,Strong Match
Education,267000,8.12,Education,84,82,Strong Match
Lifestyle,312000,5.23,Lifestyle,81,79,Strong Match
Beauty,178000,7.89,Beauty,87,85,Strong Match
Music,223000,6.34,Music,82,80,Strong Match
Fitness,48000,4.56,Technology,45,48,Moderate Match
Technology,52000,3.89,Fashion,42,46,Moderate Match
Fashion,61000,4.45,Gaming,48,52,Moderate Match
Food,43000,3.67,Travel,40,44,Moderate Match
Travel,58000,4.23,Music,47,50,Moderate Match
Gaming,39000,3.45,Education,39,43,Moderate Match
Education,65000,4.67,Lifestyle,50,54,Moderate Match
Lifestyle,36000,3.23,Technology,37,41,Moderate Match
Beauty,62000,4.34,Food,48,52,Moderate Match
Music,41000,3.78,Beauty,43,47,Moderate Match
Fitness,56000,4.56,Music,49,53,Moderate Match
Technology,37000,3.34,Travel,38,42,Moderate Match
Fashion,59000,4.12,Education,46,50,Moderate Match
Food,40000,3.89,Lifestyle,42,46,Moderate Match
Travel,63000,4.45,Fashion,49,53,Moderate Match
Gaming,34000,3.12,Beauty,36,40,Moderate Match
Education,57000,4.34,Gaming,48,52,Moderate Match
Lifestyle,38000,3.56,Food,41,45,Moderate Match
Beauty,60000,4.23,Travel,47,51,Moderate Match
Music,42000,3.67,Education,43,47,Moderate Match
Fitness,7200,1.89,Fashion,19,23,Low Match
Technology,4800,1.45,Gaming,15,19,Low Match
Fashion,8500,2.23,Music,22,26,Low Match
Food,5900,1.67,Travel,17,21,Low Match
Travel,9100,2.45,Technology,24,28,Low Match
Gaming,6300,1.78,Lifestyle,19,23,Low Match
Education,7800,2.12,Beauty,21,25,Low Match
Lifestyle,4200,1.34,Gaming,14,18,Low Match
Beauty,8800,2.56,Education,25,29,Low Match
Music,5500,1.56,Food,16,20,Low Match
Fitness,6800,1.89,Music,20,24,Low Match
Technology,9500,2.34,Lifestyle,23,27,Low Match
Fashion,4500,1.23,Travel,13,17,Low Match
Food,7100,2.67,Fashion,26,30,Low Match
Travel,5200,1.45,Beauty,15,19,Low Match
Gaming,8200,2.12,Technology,22,26,Low Match
Education,3800,1.56,Food,16,20,Low Match
Lifestyle,6500,2.34,Music,23,27,Low Match
Beauty,4900,1.34,Gaming,14,18,Low Match
Music,7400,2.78,Education,27,31,Low Match
Fitness,345000,8.67,Fitness,92,90,Strong Match
Technology,267000,7.12,Technology,85,83,Strong Match
Fashion,198000,6.45,Fashion,82,80,Strong Match
Food,312000,7.89,Food,87,85,Strong Match
Travel,178000,5.56,Travel,78,75,Strong Match
Gaming,398000,8.34,Gaming,91,89,Strong Match
Education,143000,6.78,Education,80,77,Strong Match
Lifestyle,267000,7.23,Lifestyle,84,82,Strong Match
Beauty,312000,8.89,Beauty,93,91,Strong Match
Music,178000,5.89,Music,79,76,Strong Match
Fitness,198000,7.56,Fitness,86,84,Strong Match
Technology,312000,6.34,Technology,83,81,Strong Match
Fashion,143000,8.12,Fashion,87,85,Strong Match
Food,267000,5.67,Food,80,78,Strong Match
Travel,398000,7.34,Travel,86,83,Strong Match
Gaming,178000,6.89,Gaming,83,81,Strong Match
Education,312000,7.67,Education,83,81,Strong Match
Lifestyle,143000,5.34,Travel,52,58,Moderate Match
Beauty,267000,8.45,Beauty,91,89,Strong Match
Music,198000,7.12,Music,83,80,Strong Match
Fitness,64000,4.78,Education,51,55,Moderate Match
Technology,58000,4.12,Beauty,46,50,Moderate Match
Fashion,72000,4.89,Music,53,57,Moderate Match
Food,49000,3.56,Technology,40,44,Moderate Match
Travel,66000,4.34,Gaming,49,53,Moderate Match
Gaming,43000,3.78,Food,42,46,Moderate Match
Education,69000,4.56,Fashion,50,54,Moderate Match
Lifestyle,46000,3.34,Music,39,43,Moderate Match
Beauty,73000,4.67,Education,51,55,Moderate Match
Music,50000,3.89,Travel,44,48,Moderate Match
Fitness,9200,2.12,Gaming,21,25,Low Match
Technology,5800,1.56,Music,16,20,Low Match
Fashion,7600,2.34,Technology,23,27,Low Match
Food,4300,1.12,Beauty,12,16,Low Match
Travel,8400,2.67,Fashion,26,30,Low Match
Gaming,5100,1.34,Lifestyle,14,18,Low Match
Education,7200,2.45,Travel,24,28,Low Match
Lifestyle,4600,1.45,Gaming,15,19,Low Match
Beauty,8100,2.23,Music,22,26,Low Match
Music,5400,1.67,Food,17,21,Low Match
Fitness,215000,7.89,Fitness,87,85,Strong Match
Technology,345000,6.56,Technology,84,82,Strong Match
Fashion,178000,8.34,Fashion,89,87,Strong Match
Food,267000,7.23,Food,85,83,Strong Match
Travel,198000,6.12,Travel,80,78,Strong Match
Gaming,345000,8.78,Gaming,92,90,Strong Match
Education,178000,7.45,Education,82,80,Strong Match
Lifestyle,267000,6.89,Lifestyle,84,82,Strong Match
Beauty,198000,8.12,Beauty,89,87,Strong Match
Music,345000,7.34,Music,85,82,Strong Match
Fitness,178000,6.67,Fitness,83,81,Strong Match
Technology,267000,8.23,Technology,87,85,Strong Match
Fashion,345000,5.78,Fashion,81,79,Strong Match
Food,178000,7.56,Food,84,82,Strong Match
Travel,267000,6.34,Travel,82,80,Strong Match
Gaming,178000,7.89,Gaming,85,83,Strong Match
Education,345000,6.45,Education,82,80,Strong Match
Lifestyle,178000,8.45,Lifestyle,88,86,Strong Match
Beauty,267000,7.12,Beauty,86,84,Strong Match
Music,178000,5.45,Music,78,75,Strong Match
Fitness,55000,4.34,Travel,46,50,Moderate Match
Technology,62000,3.89,Music,42,46,Moderate Match
Fashion,48000,4.67,Education,49,53,Moderate Match
Food,57000,3.45,Beauty,40,44,Moderate Match
Travel,67000,4.56,Technology,50,54,Moderate Match
Gaming,44000,3.23,Food,38,42,Moderate Match
Education,61000,4.78,Gaming,51,55,Moderate Match
Lifestyle,40000,3.67,Fashion,42,46,Moderate Match
Beauty,65000,4.12,Travel,47,51,Moderate Match
Music,47000,3.56,Lifestyle,41,45,Moderate Match
Fitness,68000,4.89,Beauty,52,56,Moderate Match
Technology,42000,3.12,Gaming,37,41,Moderate Match
Fashion,63000,4.45,Music,49,53,Moderate Match
Food,45000,3.78,Technology,43,47,Moderate Match
Travel,70000,4.34,Fashion,48,52,Moderate Match
Gaming,38000,3.45,Education,40,44,Moderate Match
Education,66000,4.67,Food,50,54,Moderate Match
Lifestyle,43000,3.34,Travel,39,43,Moderate Match
Beauty,69000,4.23,Gaming,47,51,Moderate Match
Music,46000,3.89,Beauty,44,48,Moderate Match
Fitness,6500,1.78,Lifestyle,18,22,Low Match
Technology,3900,1.12,Food,12,16,Low Match
Fashion,8200,2.45,Gaming,24,28,Low Match
Food,5600,1.56,Music,16,20,Low Match
Travel,7800,2.12,Technology,21,25,Low Match
Gaming,4200,1.34,Fashion,14,18,Low Match
Education,9100,2.67,Beauty,26,30,Low Match
Lifestyle,5300,1.45,Education,15,19,Low Match
Beauty,7500,2.34,Travel,23,27,Low Match
Music,4700,1.67,Food,17,21,Low Match
Fitness,8800,2.56,Gaming,25,29,Low Match
Technology,6100,1.89,Music,20,24,Low Match
Fashion,3600,1.23,Lifestyle,13,17,Low Match
Food,9400,2.78,Technology,27,31,Low Match
Travel,5000,1.45,Beauty,15,19,Low Match
Gaming,7300,2.23,Food,22,26,Low Match
Education,4100,1.34,Fashion,14,18,Low Match
Lifestyle,8500,2.45,Gaming,24,28,Low Match
Beauty,5700,1.56,Music,16,20,Low Match
Music,6800,2.12,Education,21,25,Low Match
Fitness,398000,9.12,Fitness,94,96,Strong Match
Technology,287000,7.56,Technology,86,84,Strong Match
Fashion,356000,8.23,Fashion,90,88,Strong Match
Food,214000,6.89,Food,83,81,Strong Match
Travel,325000,7.78,Travel,87,84,Strong Match
Gaming,432000,8.45,Gaming,92,90,Strong Match
Education,198000,6.34,Education,80,77,Strong Match
Lifestyle,356000,7.89,Lifestyle,88,85,Strong Match
Beauty,287000,9.23,Beauty,94,92,Strong Match
Music,214000,6.12,Music,80,77,Strong Match
Fitness,178000,8.34,Fitness,89,87,Strong Match
Technology,432000,7.23,Technology,87,84,Strong Match
Fashion,287000,6.78,Fashion,84,82,Strong Match
Food,356000,8.56,Food,90,88,Strong Match
Travel,214000,5.89,Travel,79,76,Strong Match
Gaming,287000,7.45,Gaming,86,84,Strong Match
Education,356000,8.12,Education,85,83,Strong Match
Lifestyle,214000,6.56,Lifestyle,82,80,Strong Match
Beauty,356000,7.67,Beauty,87,85,Strong Match
Music,287000,8.89,Music,86,84,Strong Match
Fitness,156000,7.23,Fitness,84,82,Strong Match
Technology,234000,6.45,Technology,82,80,Strong Match
Fashion,312000,8.12,Fashion,89,87,Strong Match
Food,189000,7.56,Food,85,83,Strong Match
Travel,267000,6.78,Travel,82,80,Strong Match
Gaming,345000,8.34,Gaming,90,88,Strong Match
Education,178000,7.12,Education,81,79,Strong Match
Lifestyle,289000,6.89,Lifestyle,84,82,Strong Match
Beauty,234000,8.67,Beauty,91,89,Strong Match
Music,312000,7.45,Music,85,83,Strong Match
Fitness,189000,6.34,Fitness,82,80,Strong Match
Technology,345000,7.89,Technology,86,84,Strong Match
Fashion,178000,5.56,Fashion,79,77,Strong Match
Food,289000,8.23,Food,88,86,Strong Match
Travel,234000,7.34,Travel,84,82,Strong Match
Gaming,178000,6.12,Gaming,80,78,Strong Match
Education,289000,7.78,Education,83,81,Strong Match
Lifestyle,234000,8.45,Lifestyle,89,87,Strong Match
Beauty,345000,6.56,Beauty,84,82,Strong Match
Music,178000,7.67,Music,83,80,Strong Match
Fitness,289000,8.89,Fitness,92,90,Strong Match
Technology,178000,5.34,Technology,78,76,Strong Match
Fashion,289000,7.23,Fashion,85,83,Strong Match
Food,234000,6.67,Food,82,80,Strong Match
Travel,345000,8.12,Travel,87,85,Strong Match
Gaming,234000,5.78,Gaming,79,77,Strong Match
Education,178000,6.45,Education,79,76,Strong Match
Lifestyle,345000,7.56,Lifestyle,86,84,Strong Match
Beauty,178000,8.34,Beauty,89,87,Strong Match
Music,234000,6.23,Music,81,79,Strong Match
Fitness,52000,4.23,Gaming,44,48,Moderate Match
Technology,46000,3.78,Music,41,45,Moderate Match
Fashion,59000,4.56,Education,49,53,Moderate Match
Food,41000,3.34,Fashion,39,43,Moderate Match
Travel,55000,4.45,Beauty,48,52,Moderate Match
Gaming,37000,3.56,Lifestyle,40,44,Moderate Match
Education,62000,4.78,Travel,51,55,Moderate Match
Lifestyle,44000,3.12,Technology,37,41,Moderate Match
Beauty,58000,4.34,Gaming,47,51,Moderate Match
Music,49000,3.89,Food,44,48,Moderate Match
Fitness,63000,4.67,Music,50,54,Moderate Match
Technology,39000,3.23,Beauty,38,42,Moderate Match
Fashion,56000,4.12,Travel,46,50,Moderate Match
Food,43000,3.67,Lifestyle,41,45,Moderate Match
Travel,61000,4.56,Technology,49,53,Moderate Match
Gaming,36000,3.45,Education,40,44,Moderate Match
Education,59000,4.23,Food,47,51,Moderate Match
Lifestyle,42000,3.78,Gaming,43,47,Moderate Match
Beauty,64000,4.45,Music,48,52,Moderate Match
Music,45000,3.34,Fashion,39,43,Moderate Match
Fitness,53000,4.89,Education,52,56,Moderate Match
Technology,47000,3.56,Lifestyle,41,45,Moderate Match
Fashion,60000,4.34,Beauty,47,51,Moderate Match
Food,38000,3.12,Gaming,37,41,Moderate Match
Travel,57000,4.67,Music,50,54,Moderate Match
Gaming,41000,3.23,Fashion,38,42,Moderate Match
Education,63000,4.56,Travel,49,53,Moderate Match
Lifestyle,35000,3.45,Beauty,40,44,Moderate Match
Beauty,54000,4.12,Technology,46,50,Moderate Match
Music,48000,3.89,Education,44,48,Moderate Match
Fitness,4800,1.34,Music,14,18,Low Match
Technology,7200,2.12,Lifestyle,21,25,Low Match
Fashion,3500,1.23,Travel,13,17,Low Match
Food,8900,2.56,Gaming,25,29,Low Match
Travel,4100,1.45,Fashion,15,19,Low Match
Gaming,6800,1.89,Education,19,23,Low Match
Education,5300,1.67,Beauty,17,21,Low Match
Lifestyle,9200,2.34,Technology,23,27,Low Match
Beauty,3900,1.12,Music,12,16,Low Match
Music,7500,2.45,Food,24,28,Low Match
Fitness,5600,1.78,Travel,18,22,Low Match
Technology,8300,2.23,Fashion,22,26,Low Match
Fashion,4400,1.34,Lifestyle,14,18,Low Match
Food,6100,1.89,Technology,20,24,Low Match
Travel,9500,2.67,Beauty,26,30,Low Match
Gaming,3700,1.23,Music,13,17,Low Match
Education,8100,2.45,Food,24,28,Low Match
Lifestyle,4600,1.56,Gaming,16,20,Low Match
Beauty,7000,2.12,Education,21,25,Low Match
Music,5200,1.45,Lifestyle,15,19,Low Match
Fitness,267000,7.67,Fitness,87,85,Strong Match
Technology,312000,8.45,Technology,89,87,Strong Match
Fashion,189000,6.23,Fashion,81,79,Strong Match
Food,345000,7.89,Food,87,85,Strong Match
Travel,178000,6.56,Travel,81,78,Strong Match
Gaming,289000,8.12,Gaming,89,87,Strong Match
Education,234000,7.34,Education,83,81,Strong Match
Lifestyle,312000,6.78,Lifestyle,84,82,Strong Match
Beauty,189000,8.56,Beauty,90,88,Strong Match
Music,345000,7.23,Music,84,82,Strong Match
Fitness,234000,8.78,Fitness,91,89,Strong Match
Technology,189000,6.12,Technology,80,78,Strong Match
Fashion,345000,7.56,Fashion,86,84,Strong Match
Food,178000,8.34,Food,88,86,Strong Match
Travel,289000,5.89,Travel,79,77,Strong Match
Gaming,234000,7.78,Gaming,86,83,Strong Match
Education,345000,6.34,Education,81,79,Strong Match
Lifestyle,178000,8.23,Lifestyle,88,86,Strong Match
Beauty,289000,7.45,Beauty,87,85,Strong Match
Music,234000,6.89,Music,82,80,Strong Match
Fitness,345000,7.12,Fitness,85,83,Strong Match
Technology,178000,8.67,Technology,88,86,Strong Match
Fashion,234000,5.78,Fashion,80,78,Strong Match
Food,289000,7.45,Food,85,83,Strong Match
Travel,345000,8.23,Travel,88,86,Strong Match
Gaming,178000,6.34,Gaming,81,79,Strong Match
Education,289000,7.89,Education,84,82,Strong Match
Lifestyle,234000,6.45,Lifestyle,82,80,Strong Match
Beauty,345000,8.78,Beauty,93,91,Strong Match
Music,178000,7.34,Music,83,81,Strong Match
Fitness,289000,6.78,Fitness,84,82,Strong Match
Technology,234000,7.56,Technology,84,82,Strong Match
Fashion,178000,8.45,Fashion,88,86,Strong Match
Food,345000,6.23,Food,82,80,Strong Match
Travel,234000,7.67,Travel,85,82,Strong Match
Gaming,289000,5.45,Gaming,79,77,Strong Match
Education,178000,8.12,Education,84,82,Strong Match
Lifestyle,345000,7.34,Lifestyle,86,84,Strong Match
Beauty,234000,6.89,Beauty,85,83,Strong Match
Music,289000,8.23,Music,86,84,Strong Match
Fitness,178000,7.45,Fitness,85,83,Strong Match
Technology,345000,6.67,Technology,83,81,Strong Match
Fashion,289000,7.89,Fashion,87,85,Strong Match
Food,234000,8.56,Food,89,87,Strong Match
Travel,178000,5.34,Travel,77,75,Strong Match
Gaming,345000,7.23,Gaming,86,84,Strong Match
Education,234000,8.34,Education,86,84,Strong Match
Lifestyle,289000,6.12,Lifestyle,82,80,Strong Match
Beauty,178000,7.78,Beauty,86,84,Strong Match
Music,345000,6.45,Music,83,81,Strong Match
Fitness,234000,8.12,Fitness,89,87,Strong Match
Technology,289000,5.89,Technology,80,78,Strong Match
Fashion,178000,7.34,Fashion,84,82,Strong Match
Food,345000,6.56,Food,83,81,Strong Match
Travel,289000,8.45,Travel,89,87,Strong Match
Gaming,234000,6.78,Gaming,83,81,Strong Match
Education,178000,7.56,Education,82,80,Strong Match
Lifestyle,345000,8.67,Lifestyle,90,88,Strong Match
Beauty,289000,5.67,Beauty,81,79,Strong Match
Music,234000,7.89,Music,84,82,Strong Match
Fitness,56000,4.12,Beauty,45,49,Moderate Match
Technology,62000,3.78,Gaming,42,46,Moderate Match
Fashion,48000,4.56,Travel,49,53,Moderate Match
Food,55000,3.34,Music,38,42,Moderate Match
Travel,67000,4.89,Education,52,56,Moderate Match
Gaming,42000,3.56,Food,41,45,Moderate Match
Education,58000,4.23,Lifestyle,46,50,Moderate Match
Lifestyle,44000,3.89,Technology,44,48,Moderate Match
Beauty,61000,4.67,Fashion,50,54,Moderate Match
Music,39000,3.12,Beauty,37,41,Moderate Match
Fitness,6200,1.67,Education,17,21,Low Match
Technology,8700,2.34,Travel,23,27,Low Match
Fashion,4300,1.12,Food,12,16,Low Match
Food,7800,2.56,Lifestyle,25,29,Low Match
Travel,5100,1.45,Gaming,15,19,Low Match
Gaming,9300,2.78,Beauty,27,31,Low Match
Education,3600,1.23,Music,13,17,Low Match
Lifestyle,7100,2.12,Fashion,21,25,Low Match
Beauty,4800,1.56,Technology,16,20,Low Match
Music,8400,2.45,Gaming,24,28,Low Match
